ID,Sehir,Yas Durumu,Koruma Karari,Oldurme Nedeni,Katil,Olum Sekli,Katilin Durumu,Yil
318, Istanbul , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Sorusturma Suruyor ,2014.0
319, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Intihar ,2014.0
320, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2014.0
321, Istanbul , Resit ,   Yok ,Kiskanclik,Sevgilisi,Kesici Alet, Tutuklu ,2014.0
322, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Akrabasi,Tespit Edilemeyen, Tutuklu ,2014.0
323, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2014.0
324, Istanbul ,Resit,   Tespit Edilemeyen ,Kiskanclik,Patron,Atesli Silah,Bilinmiyor,2014.0
325, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma, Tespit Edilemeyen,2014.0
326, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tanimadigi Birisi,Atesli Silah,Tespit Edilemeyen,2014.0
327, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Darp, Sorusturma Suruyor ,2014.0
328, Izmir , Resit ,   Yok ,Kiskanclik,Eski Kocasi,Atesli Silah, Tutuklu ,2014.0
329, Izmir , Resit ,   Yok ,Kiskanclik,Eski Sevgilisi,Atesli Silah, Tutuklu ,2014.0
330, Izmir , Resit Degil ,   Yok ,Para,Tanidigi Birisi,Bogulma, Tutuklu ,2014.0
331, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Zehir, Tutuklu ,2014.0
332, Izmir , Resit ,   Yok  ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet, Sorusturma Suruyor ,2014.0
333, Izmir , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Tutuklu ,2014.0
334, Izmir , Resit ,   Yok ,Tartisma,Torunu,Kesici Alet,Tespit Edilemeyen,2014.0
